Unnamed: 0,date,developerResponse,review,rating,isEdited,userName,title,app_name,app_id,category,probability
2,2022-06-28 22:13:51,"{'id': 30650880, 'body': 'We are sorry to hear about your experience. Nurx has over 400K patients, many of whom have trusted us to care for additional health needs beyond birth control. We pride ourselves on helping our patients get what they need. Please email reviewsupport@nurx.co to best locate your account and investigate this matter further.\n', 'modified': '2022-06-30T21:35:26Z'}","This whole business is a scam. It’s an exhausting and consistently frustrating take on a crucial service. I absolutely love the concept of getting it delivered and being able to do it all online. First month was fine. Every month since they have tried charging my card anywhere from $8-$10 even though under my insurance all forms of birth control pills are free at no cost to me at all. Every time I’ve tried to explain that to the staff at Nurx their only response is to talk to my insurance… even if I’ve already told them that I have. I can explain it to them all day I only get automated responses, never any real help at all. Also the customer service is the worst I’ve seen on any online platform. It takes up to 6 days for someone to get back to you on anything. The earliest for me was 3 days. So you send them a message and by the time they respond you’re so close to running out of pills that you rush to get it taken care of. 
Also you can specify on your app settings that you want to be notified if insurance doesn’t cover it before you’re charged. At first I had it turned off then after the second month I turned it on. Well then they just charged me without any heads up the third month, completely ignoring my preference. Then, when I looked at the settings it was gone. 
If I hadn’t spent the money on the annual fee I would drop it. However any more of this insanity and I’ll just delete it all together. So sick of it.",1,False,Emilie Bo-Bemely.,What a Nightmare,nurx-birth-control-delivered,1213141301,"- l2_delayed_customer_service
- l3_poor_prescription_management
- l4_problematic_billing_practices",0.7626082601913798
3,2023-11-30 22:46:13,,I was happy with my first order of 1 pack of birth control which was covered by my insurance and I had no issues. My second order is where things got really shady. They told me that my insurance wouldn’t cover my prescription so I would have to pay out of pocket. I called my insurance and asked why they weren’t covering it. They said that my prescription was covered and that they would cover a refill for the 1 pack but the problem was that Nurx requested a refill for a 2 pack which is not my prescription or what I was receiving from them. My prescription was for 1 pack and I was only getting 1 pack delivered so there was no reason they should have requested a 2 pack. I asked Nurx for a refund since my insurance did cover my medication but Nurx made a mistake when ordering it. The second story they made up why they charged me was because I had an “invalid ID or DOB”. That was just a lie because if that were true they wouldn’t have been able to bill my insurance for my first order. I asked them how they were able to get my first order if my ID was invalid and then they made up another story. This time they couldn’t bill the insurance because it “wasn’t selected as my preferred form of payment”. If that were true then why did they “try” to bill my insurance in the first place? I had to file a dispute with my bank and thankfully got my money back. Don’t fall for this scam like I did. They just make up lies so they can take your money!,1,False,moldyspice,It’s a scam,nurx-birth-control-delivered,1213141301,"- l3_poor_prescription_management
- l4_problematic_billing_practices",0.9189956959897863
6,2022-06-29 17:13:53,"{'id': 30729739, 'body': ""Hello, we're disappointed to hear this. Our team is working hard to address all the questions we receive from our patients. If possible, please email reviewsupport@nurx.co as we'd like to investigate the events described and provide further assistance. We look forward to your reply."", 'modified': '2022-07-05T15:04:59Z'}","When I first signed up it took 3 weeks to get my RX. They sent me a tracking number that did not move, ever. I had to endup requesting to send to my local pharmacy. It was a nightmare dealing with this company. Not to mention of course my birth control was almost a month late because of this. This was not ok! Anyhow once sent to my pharmacy all went well since it was out of their hands.

Fast forward 2 months later…. I am messaging asking for them to send the remainder of my Rx (9 months worth) to my pharmacy. I don’t want to deal with this place any more then I have to. So after this message, I get a response saying my insurance won’t approve until a certain date (yes I know this), and if I need it sooner I can call my insurance and pay out of pocket. Pay out of pocket?! This is what insurance is for! All I asked was to send the remainder over, not for an early fill. Why must these people insist on making things more difficult then they need to be. I paid for NURX to write me a 1 year prescription, and that is all I want. How hard is it to just send refills? I cannot wait to cut ties with this company!!! They can’t handle their own service and should maybe hire more people! Or….. just can it! 

If your looking into getting a prescription from them, BEWARE. It’s a difficult, and most annoyingly, long process! Dealing with them stresses me out! Never again!! Good luck to all you who try them out.",1,False,A_huertas,The WORST!,nurx-birth-control-delivered,1213141301,"- l2_delayed_customer_service
- l3_poor_prescription_management",0.9805744123270099
8,2022-06-10 15:48:24,"{'id': 30331149, 'body': ""Hello, we're disappointed to hear of this experience and we'd like to investigate this further to see what went wrong as something does not sound right. Please email reviewsupport@nurx.co to best locate your account and make sure all concerns have been fully addressed. Thanks"", 'modified': '2022-06-13T14:21:39Z'}","UPDATE: got a reply, just to say they don’t have a time frame. would rate 0 stars if possible. 

I never leave reviews, but I was so dissatisfied with the timeliness of responses I had to. Thankfully it wasn’t a huge deal for me as I did not need time sensitive meds, but can you imagine if I did? Didn’t give me a lot of faith in their service. The pros: service reps seemed nice. The app itself has a sleek look and feel. Easy to navigate, upload docs, & chat. The cons: was prompted to upload my insurance multiple times after I already had which was annoying. They don’t take my insurance, or work with my preferred pharmacy. And good luck getting a same day response! I wish they let you know ahead of time that there’s a delay in treatment, rather than leaving you hanging for 5 days and then sending “ A member of our medical team will be with you in a few days once they've reviewed your medical history. You may experience a slight delay due to the increase in patients requesting tele-health services. “ I don’t know why but I assumed it would be a quicker turn around time for a simple birth control request. Hope no one is relying on this for time sensitive issues! Will be seeking tele-health service elsewhere after this first order comes through since I already paid for the visit.",1,False,surlycurlycue,"Poor Communication, Nice feel & design to app.",nurx-birth-control-delivered,1213141301,"- l2_delayed_customer_service: The review mentions difficulty in contacting customer service and long wait times.
- l3_poor_prescription_management: The review discusses issues with insurance uploads, not working with the preferred pharmacy, and delays in treatment.",0.9485302904584585
9,2020-08-20 04:55:14,"{'id': 17427196, 'body': ""Hi Alex, we are sorry to hear we have not been meeting expectations recently. As part of our initial request process, we ask patients if they would be comfortable receiving a generic equivalent of their prescribed medication, but we are able to make changes to your prescription if you prefer a specific brand. We'd like to look into this and make sure your concerns are addressed. Please email us at reviewsupport@nurx.co so we can connect"", 'modified': '2020-08-21T23:23:31Z'}","I am using this app for about four years now. In the beginning it was amazing. Customer service was always quick to respond and fix any errors that they made, my prescription arrived quickly, and if I ever needed to speak with a doctor it was fast and easy. 

 The last two-ish years have been absolutely terrible. Ever since their name got out there more, their customer service has gone downhill tremendously. It takes weeks on end to get a response through the chat, and if you call on the phone you have to wait upwards of 1 to 2 hours just talk to someone even if you're only the first or second person in line. They try to change my prescription all the time even when I tell them not to, they try to charge me multiple times per month for my prescription even after I've already paid for it and it's been shipped. And they are trying to refill my prescription every two weeks instead of every four weeks like they're supposed to. 

 I loved this company in the beginning, but I'm starting to think that it's time I find another. They have just gone downhill so much that I don't think they are worth my time and effort anymore. It's supposed to be ""birth control made easy"" but it seems to be more difficult than it's  worth at this point.",2,False,ally.higgs,Was better in the beginning...,nurx-birth-control-delivered,1213141301,"- l2_delayed_customer_service
- l3_poor_prescription_management
- l4_problematic_billing_practices",0.828844464221556
10,2023-01-15 19:52:55,"{'id': 34362647, 'body': ""We're deeply saddened to hear of this experience and want to take a closer look at what you described. Please email us at reviewsupport@nurx.co to better investigate this. Thank you.\n"", 'modified': '2023-01-18T16:12:48Z'}","Nurx used to be super helpful when I first started using it. It was really quick and easy to get the medication to your door, especially when it’s really hard for me to see an in-person doctor due to my work schedule. However, they have stopped doing their job. I understand that they had a huge influx of customers due to all of the birth control/abortion issues going on, but if they do not have the resources to keep up with all of their patients, they should stop accepting patients. It used to be a live chat service for $60 annually(not including the price of the medication and a monthly shipping fee), but they have now stopped that feature so I’m lucky if someone responds in a week. I went two months without my migraine medication because they kept claiming they were putting the prescription through and then suddenly the pharmacy would have an issue, then the order got cancelled on Nurx’s side for whatever reason, and still Nurx just kept telling me the same thing over and over (that they would look into it which never happened until I threatened to cancel my membership). They do not care about the patients, they care about the money they get from the annual membership fee. If you need your medication consistently, Nurx is not going to help you.",1,False,777xxxxx777,No longer worth it,nurx-birth-control-delivered,1213141301,"- l2_delayed_customer_service
- l3_poor_prescription_management",0.9177120175044199
11,2024-01-19 23:55:14,"{'id': 41532798, 'body': ""We appreciate you taking the time to provide feedback on your experience. We apologize for any inconvenience you've faced, and we're here to help sort things out. Can you send us a message in the app or through email at reviewsupport@nurx.co?\n"", 'modified': '2024-01-25T17:24:05Z'}","This company is a joke! I normally don’t make reviews but felt the need for this one. I have amazing insurance and have never had an issue with prescriptions.   I tried to get a prescription for my skin and they said it’s not covered under my insurance plan. I 100% believe that is a lie, because I can go to my normal doctor and get one with no issues. I never even have to pay but 5 dollars for doctors visits blood work and medicine I pickup at the pharmacy regardless of what it is. They never even offered for me to purchase the medicine in full amount and every time I reached out to there team the basically  ignore the questions I ask them, not to mention the timeframe  that has taken to even get a response from them about this situation has been well over a month! I don’t think it’s worth having to pay 40$ for every prescription request on the site. They wanted me to pay another 40$ just for a new consultation for a different medication in the same category. I don’t have the money to just throw around like that and I think it’s absolutely ridiculous. I asked for a refund which they ignored. Why did I even pay the 40$ just for them to waste my money and time? They told me they can’t even find a list of what my “insurance covers”. This is a scam",1,False,jessibear97,Scam,nurx-birth-control-delivered,1213141301,"- l2_delayed_customer_service: The review mentions long wait times and difficulty in getting responses from customer service.
- l3_poor_prescription_management: The review highlights issues with prescription management, including not being able to get a prescription covered by insurance and being asked to pay additional fees.
- l4_problematic_billing_practices: The review discusses unexpected charges and issues with billing, such as being asked to pay $40 for a prescription request and another $40 for a new consultation.",0.9733379765219831
12,2022-07-21 11:42:05,"{'id': 31149094, 'body': ""Hi, we're disappointed to hear of your experience as it sounds frustrating. Our team has been experiencing higher volumes and working on address everyone as soon as possible. We're sad to hear you missed your dose. We'd like to learn more about the events described and see what went wrong. Please email reviewsupport@nurx.co to better assist you. "", 'modified': '2022-07-28T16:09:44Z'}","This company truly makes it so difficult to get birth control that you already have a prescription for! I was switching out from my pharmacy to get a different brand and I contacted them 2 weeks before I would run out of my pills and hopefully start a new pack with my preferred brand, and they literally ignored me for 10 days, I had to call them and wait forever to speak to someone who was clearly unbothered about how long I was waiting. She said she was going to let the prescribers know to rush my request and I should hear back within a few days. Nothing. 

I call back again and speak to a man who was very kind, but he tells me there is no request in to rush my order and he’ll do it but it will still be at least a week before I get my medicine. I say okay, knowing it’s better than nothing, and once it was processed a few days later, it still didn’t even ship out. I called to cancel, as I got in touch with their competitor, Favor, and they were able to get me the contraceptives I needed in just 4 business days. 

Nurx, you should work on your communication and customer service. It is not healthy for people to have to miss doses of medication because they are waiting on your care team who is supposed to provide quick, easy service.",1,False,Kensie ,0 stars,nurx-birth-control-delivered,1213141301,"- l2_delayed_customer_service
- l3_poor_prescription_management",0.9677780888910997
13,2022-07-06 03:52:45,"{'id': 30857424, 'body': ""Hi, we're disappointed to hear of this experience. This is not what we'd like to cement to our patients and want to make sure all events described have been fully reviewed. If possible, please email reviewsupport@nurx.co to better assist you. "", 'modified': '2022-07-12T20:26:31Z'}","I signed up for this because I thought it would be a faster alternative to setting an appointment with a dermatologist and getting an RX. Boy was I wrong. For starters, their advertising states you can use your insurance for a specific product they are advertising. When I inquired about billing my insurance, I was told that insurance wouldn’t cover it but I contacted my insurance and was told this would in fact be covered. It took over a week to get my RX issued but prior to that I had spoken to customer service via chat to let them know I would like my rx to be filled at my pharmacy rather than shipped because I had already waited a week to hear anything about my prescription. I was told to submit my pharmacy information so that they could send the rx to be filled there. I waited yet another week. When I finally got an update on the app, it stated my Rx was SHIPPED!  I was very specific about having it filled at my pharmacy! I immediately sent a message asking to cancel and get a refund. It’s been a week and all I’ve gotten is an automated response. Overall it’s take. 3 weeks when I could have gotten this done in person with my doctor in less than half the time. Not to mention, my insurance would have paid for it. Very disappointed.",1,False,lizardsbigmama,This is not convenient,nurx-birth-control-delivered,1213141301,"- l2_delayed_customer_service
- l3_poor_prescription_management
- l4_problematic_billing_practices",0.9482248180508741
14,2023-07-11 01:04:31,"{'id': 37635656, 'body': ""Hello, we're truly saddened to hear of this experience and want to take a closer look at what you described. Please email us at reviewsupport@nurx.co to better investigate this. We look forward to your reply, thank you.\n"", 'modified': '2023-07-12T14:18:54Z'}","I thought using this app would be a great way to get a prescription easily before a vacation. Spoiler alert: it was not. It only made things more complicated and stressful and I had to scramble at the last minute to find a backup. I submitted a request a week before my vacation, but it took them 5 days just to review and reach out with additional account/customer service questions (not even doctor questions - they hadn’t even sent it to a doctor, it took them 5 days just to review and ask account questions). I called and resolved those questions the same day, but at that point since it had already been 5 days, and they had not even sent it to a doctor yet (just their customer service), there was no guarantee they’d be able to send to a doctor, the doctor would review, and I would get my prescription before I left for vacation. In my mind, if Nurx had additional account/customer service questions, they should have flagged and reached out immediately on day 1 or day 2 after the request not waited 5 days. Now it is 2 days before my vacation and I am left trying to figure out how and where I can get my medication. I am very disappointed and upset with their service and would not recommend it.",1,False,krg248,"Good idea, terrible execution",nurx-birth-control-delivered,1213141301,"- l2_delayed_customer_service
- l3_poor_prescription_management",0.9883600831528659
